Species,Geno,Frag.ID
Acer,Y26,56
Acer,Y26,58
Acer,Y26,59
Acer,Y26,60
Acer,Y26,61
Acer,Y26,62
Acer,Y26,63
Acer,Y26,64
Acer,Y26,65
Acer,Y26,66
Acer,Y31,67
Acer,Y31,68
Acer,Y31,70
Acer,Y31,71
Acer,Y31,72
Acer,Y31,73
Acer,Y31,74
Acer,Y31,75
Acer,Y31,76
Acer,Y31,77
Acer,Y27,78
Acer,Y27,79
Acer,Y27,80
Acer,Y27,81
Acer,Y27,82
Acer,Y27,84
Acer,Y27,85
Acer,Y27,86
Acer,Y27,87
Acer,Y27,88
Acer,Y57,89
Acer,Y57,91
Acer,Y57,92
Acer,Y57,93
Acer,Y57,94
Acer,Y57,95
Acer,Y57,96
Acer,Y57,97
Acer,Y57,98
Acer,Y57,99
Acer,Y12,100
Acer,Y12,101
Acer,Y12,102
Acer,Y12,103
Acer,Y12,104
Acer,Y12,105
Acer,Y12,106
Acer,Y12,107
Acer,Y12,109
Acer,Y12,110
Mcap,1271,1271-1
Mcap,1271,1271-11
Mcap,1271,1271-2
Mcap,1271,1271-3
Mcap,1271,1271-4
Mcap,1271,1271-5
Mcap,1271,1271-6
Mcap,1271,1271-7
Mcap,1271,1271-8
Mcap,1271,1271-9
Mcap,871,871-1
Mcap,871,871-10
Mcap,871,871-11
Mcap,871,871-2
Mcap,871,871-4
Mcap,871,871-5
Mcap,871,871-6
Mcap,871,871-7
Mcap,871,871-8
Mcap,871,871-9
Mcap,872,872-1
Mcap,872,872-10
Mcap,872,872-11
Mcap,872,872-2
Mcap,872,872-3
Mcap,872,872-4
Mcap,872,872-5
Mcap,872,872-7
Mcap,872,872-8
Mcap,872,872-9
Mcap,873,873-1
Mcap,873,873-10
Mcap,873,873-11
Mcap,873,873-2
Mcap,873,873-3
Mcap,873,873-5
Mcap,873,873-6
Mcap,873,873-7
Mcap,873,873-8
Mcap,873,873-9
Mcap,874,874-1
Mcap,874,874-10
Mcap,874,874-11
Mcap,874,874-3
Mcap,874,874-4
Mcap,874,874-5
Mcap,874,874-6
Mcap,874,874-7
Mcap,874,874-8
Mcap,874,874-9
Pcomp,1273,1273-10
Pcomp,1273,1273-11
Pcomp,1273,1273-2
Pcomp,1273,1273-3
Pcomp,1273,1273-4
Pcomp,1273,1273-5
Pcomp,1273,1273-6
Pcomp,1273,1273-7
Pcomp,1273,1273-8
Pcomp,1273,1273-9
Pcomp,1281,1281-1
Pcomp,1281,1281-10
Pcomp,1281,1281-11
Pcomp,1281,1281-2
Pcomp,1281,1281-3
Pcomp,1281,1281-4
Pcomp,1281,1281-6
Pcomp,1281,1281-7
Pcomp,1281,1281-8
Pcomp,1281,1281-9
Pcomp,1283,1283-10
Pcomp,1283,1283-11
Pcomp,1283,1283-2
Pcomp,1283,1283-3
Pcomp,1283,1283-4
Pcomp,1283,1283-5
Pcomp,1283,1283-6
Pcomp,1283,1283-7
Pcomp,1283,1283-8
Pcomp,1283,1283-9
Pcomp,1291,1291-1
Pcomp,1291,1291-10
Pcomp,1291,1291-11
Pcomp,1291,1291-2
Pcomp,1291,1291-3
Pcomp,1291,1291-4
Pcomp,1291,1291-6
Pcomp,1291,1291-7
Pcomp,1291,1291-8
Pcomp,1291,1291-9
Pcomp,1293,1293-1
Pcomp,1293,1293-11
Pcomp,1293,1293-2
Pcomp,1293,1293-3
Pcomp,1293,1293-4
Pcomp,1293,1293-5
Pcomp,1293,1293-6
Pcomp,1293,1293-7
Pcomp,1293,1293-8
Pcomp,1293,1293-9
Ssid,Y6,1
Ssid,Y6,2
Ssid,Y6,3
Ssid,Y6,4
Ssid,Y6,5
Ssid,Y6,6
Ssid,Y6,7
Ssid,Y6,8
Ssid,Y6,9
Ssid,Y6,10
Ssid,W49,12
Ssid,W49,13
Ssid,W49,14
Ssid,W49,15
Ssid,W49,16
Ssid,W49,17
Ssid,W49,18
Ssid,W49,19
Ssid,W49,21
Ssid,W49,22
Ssid,Y34,23
Ssid,Y34,24
Ssid,Y34,25
Ssid,Y34,27
Ssid,Y34,28
Ssid,Y34,29
Ssid,Y34,30
Ssid,Y34,32
Ssid,Y34,33
Ssid,Y7,34
Ssid,Y7,35
Ssid,Y7,36
Ssid,Y7,37
Ssid,Y7,38
Ssid,Y7,39
Ssid,Y7,40
Ssid,Y7,42
Ssid,Y7,43
Ssid,Y7,44
Ssid,W50,45
Ssid,W50,47
Ssid,W50,48
Ssid,W50,50
Ssid,W50,51
Ssid,W50,52
Ssid,W50,54
Ssid,W50,55