fragid,tank
1,NWQ4
2,FL_Control_1
3,NWQ2
4,P4
5,Mixed_2
6,P13
7,FL_Control_2
8,FL_Control_1
9,President's
10,Mixed_1
12,Mixed_2
13,P13
14,NWQ2
15,NWQ4
16,FL_Control_1
17,FL_Control_2
18,FL_Control_2
19,P4
21,President's
22,Mixed_1
23,P4
24,NWQ4
25,Mixed_2
27,President's
28,NWQ2
29,Mixed_1
30,FL_Control_2
32,FL_Control_1
33,P13
34,Mixed_1
35,P4
36,P13
37,President's
38,NWQ2
39,NWQ4
40,FL_Control_2
42,FL_Control_2
43,Mixed_2
44,FL_Control_1
45,Mixed_1
47,P4
48,NWQ2
50,President's
51,P13
52,FL_Control_1
54,Mixed_2
55,NWQ4
56,President's
58,FL_Control_1
59,NWQ4
60,P13
61,P4
62,Mixed_2
63,FL_Control_1
64,NWQ2
65,Mixed_1
66,FL_Control_2
67,NWQ4
68,President's
70,NWQ2
71,FL_Control_2
72,Mixed_1
73,FL_Control_1
74,P4
75,Mixed_2
76,P13
77,FL_Control_2
78,Mixed_2
79,Mixed_1
80,P4
81,President's
82,FL_Control_1
84,NWQ2
85,P13
86,FL_Control_2
87,NWQ4
88,FL_Control_2
89,P13
91,President's
92,NWQ4
93,Mixed_1
95,Mixed_2
96,NWQ2
97,FL_Control_2
98,P4
99,FL_Control_1
100,NWQ2
101,President's
102,FL_Control_1
103,P4
104,FL_Control_2
105,Mixed_2
106,Mixed_1
107,NWQ4
109,P13
110,FL_Control_1
873.7,President's
1271-1,HI_Control_1
1271-11,HI_Control_1
1271-2,Mixed_2
1271-3,P13
1271-4,P4
1271-5,HI_Control_2
1271-6,President's
1271-7,NWQ4
1271-8,Mixed_1
1271-9,NWQ2
1273-10,NWQ4
1273-11,NWQ2
1273-4,HI_Control_1
1273-2,P4
1273-3,P13
1273-5,President's
1273-6,Mixed_2
1273-7,HI_Control_2
1273-8,HI_Control_2
1273-9,Mixed_1
1281-1,Mixed_2
1281-10,HI_Control_1
1281-11,HI_Control_1
1281-2,P13
1281-3,HI_Control_2
1281-4,NWQ2
1281-6,P4
1281-7,President's
1281-8,NWQ4
1281-9,Mixed_1
1283-10,P13
1283-11,Mixed_2
1283-2,Mixed_1
1283-3,President's
1283-4,HI_Control_2
1283-5,NWQ2
1283-6,HI_Control_2
1283-7,P4
1283-8,NWQ4
1283-9,HI_Control_1
1291-1,Mixed_2
1291-10,P13
1291-11,HI_Control_1
1291-2,President's
1291-2,NWQ4
1291-4,Mixed_1
1291-6,HI_Control_1
1291-7,NWQ2
1291-8,HI_Control_2
1291-9,P4
1293-1,NWQ4
1293-11,P4
1293-2,Mixed_1
1293-3,Mixed_2
1293-4,HI_Control_1
1293-5,NWQ2
1293-6,HI_Control_2
1293-7,President's
1293-8,P13
1293-9,HI_Control_1
871-1,NWQ2
871-10,Mixed_1
871-11,HI_Control_2
871-2,P13
871-4,HI_Control_2
871-5,President's
871-6,Mixed_2
871-7,NWQ4
871-8,HI_Control_1
871-9,P4
872-1,NWQ2
872-10,P13
872-11,NWQ4
872-2,Mixed_2
872-3,HI_Control_1
872-4,Mixed_1
872-5,P4
872-7,HI_Control_2
872-8,President's
872-9,HI_Control_1
873-1,NWQ2
873-10,Mixed_1
873-11,Mixed_2
873-2,NWQ4
873-3,HI_Control_2
873-5,P4
873-6,HI_Control_1
873-8,P13
873-9,HI_Control_1
874-1,HI_Control_2
874-10,HI_Control_2
874-11,P4
874-3,Mixed_2
874-4,President's
874-5,Mixed_1
874-6,NWQ4
874-7,NWQ2
874-8,HI_Control_1
874-9,P13